[NH3+]CCN[C@@H]1CCCC[C@H]1[NH3+] ZINC000034440715
C1C[C@H]2[NH2+]CC[C@@H]2[NH2+]1 ZINC000034468156
C1C[C@H]2[NH2+]CC[C@H]2[NH2+]1 ZINC000034468158
C1C[C@@H]2[NH2+]CC[C@@H]2[NH2+]1 ZINC000034468160
CC[NH2+]C[C@@H](C)[NH3+] ZINC000034588077
CC[NH2+]C[C@H](C)[NH3+] ZINC000034588078
CC(C)N(CC[NH3+])CC[NH3+] ZINC000034615615
C[NH2+]CCCN1CC[NH2+]CC1 ZINC000034770428
[NH3+]CC(=O)NC1CC[NH+](C2CC2)CC1 ZINC000035222890
[NH3+]CCN1CC[NH+](C2CC2)CC1 ZINC000035585134
C[NH2+]CC(=O)NCC[NH+]1CCCC1 ZINC000035663366
C[C@H]([NH3+])C(=O)NCC[NH+]1CCCC1 ZINC000035663368
C[C@@H]([NH3+])C(=O)NCC[NH+]1CCCC1 ZINC000035663369
[NH3+]CCC(=O)NCC[NH+]1CCCC1 ZINC000035663377
[NH3+]CCCC(=O)NCC[NH+]1CCCC1 ZINC000035663378
[NH3+]CC(=O)NCC[NH+]1CCCC1 ZINC000035663382
CC[C@@H](C)[C@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728231
CC[C@H](C)[C@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728232
CC(C)[C@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728237
CC(C)[C@@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728238
CC(C)C[C@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728239
CC(C)C[C@@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000035728240
O=C([C@@H]1CCCC[NH2+]1)N1CC[NH2+]CC1 ZINC000035728243
O=C([C@H]1CCCC[NH2+]1)N1CC[NH2+]CC1 ZINC000035728244
O=C([C@H]1CCC[NH2+]1)N1CC[NH2+]CC1 ZINC000035728247
O=C([C@@H]1CCC[NH2+]1)N1CC[NH2+]CC1 ZINC000035728248
C[NH2+]CC(=O)N1CCC[NH2+]CC1 ZINC000035738367
C[C@@H]([NH3+])C(=O)N1CCC[NH2+]CC1 ZINC000035738370
CC(C)[C@H]([NH3+])C(=O)N1CCC[NH2+]CC1 ZINC000035738371
CC(C)[C@@H]([NH3+])C(=O)N1CCC[NH2+]CC1 ZINC000035738372
